Fe II 5317,A,5315.57,0.0086,8.04,Gaussian,deblended,,other,confirmed,16,Fe II 5316.6
,A,5322.01,0.0012,2.03,Gaussian,deblended,,other,uncertain_discarded,4,
,A,5326.97,0.0091,20,Gaussian,deblended,,other,uncertain_discarded,10,
O I 5329-31,A,5329.56,0.005,3.65,Gaussian,deblended,,other,confirmed,9,"O I 5330.7, O I 5329.7, O I 5329.1"
,A,5345.09,0.0017,3.56,Gaussian,deblended,,other,uncertain_discarded,9,
Fe II 5387,A,5387.29,0.0046,6.64,Gaussian,single,,other,confirmed,8,Fe II 5387.1
S II 5454,A,5456.38,0.002,5.46,Gaussian,single,,other,confirmed,7,S II 5453.9
,A,5509.1,0.0008,7.5,Gaussian,single,,other,uncertain_discarded,12,
S II 5640,A,5642.73,0.0099,12.64,Gaussian,single,,other,confirmed,13,"S II 5640.4, S II 5640.0"
,A,5689.13,0.0128,12.44,Gaussian,deblended,,other,uncertain_discarded,4,
,A,5699.15,0.0063,4.46,Gaussian,deblended,,other,uncertain_discarded,3,
,A,5721.6,0.0059,4.72,Gaussian,single,,other,uncertain_discarded,3,
He I 5876,A,5875.03,0.0507,9.67,Gaussian,deblended,,other,confirmed,10,He I 5875.6
,A,5890.64,0.1077,19.01,Gaussian,deblended,,other,uncertain_discarded,10,
,A,5901.23,0.0476,6.98,Gaussian,deblended,,other,uncertain_discarded,5,
,A,5908.78,0.0175,5.48,Gaussian,deblended,,other,uncertain_discarded,2,
,A,5919.05,0.0891,18.02,Gaussian,deblended,,other,uncertain_discarded,2,
,A,5922.09,0.0088,5.78,Gaussian,deblended,,other,no_lines_in_window,0,
,A,5940.97,0.0383,17.75,Gaussian,deblended,,other,no_lines_in_window,0,
,A,5943.75,0.029,6.48,Gaussian,deblended,,other,uncertain_discarded,2,
,A,5948.96,0.0597,15.28,Gaussian,deblended,,other,uncertain_discarded,3,
,A,5958.78,0.0275,4.65,Gaussian,deblended,,other,uncertain_discarded,5,
,A,5968.87,0.0594,13.6,Gaussian,deblended,,other,uncertain_discarded,1,
,A,5978.39,0.0331,5.65,Gaussian,deblended,,other,uncertain_discarded,4,
,A,5988.78,0.0314,13.16,Gaussian,deblended,,other,uncertain_discarded,3,
,A,6002.9,0.0117,20,Gaussian,deblended,,other,uncertain_discarded,1,
O I 6156-58,A,6156.83,0.0066,8.01,Gaussian,single,,other,confirmed,12,"O I 6158.2, O I 6156.8, O I 6156.0"
,A,6269.84,0.0065,5.75,Gaussian,deblended,,other,uncertain_discarded,1,
,A,6279.16,0.1006,7.26,Gaussian,deblended,,other,no_lines_in_window,0,
,A,6284.43,0.0058,3.52,Gaussian,deblended,,other,uncertain_discarded,1,
,A,6293.79,0.0341,14.39,Gaussian,deblended,,other,uncertain_discarded,1,
S II/Fe II 6305,A,6306.96,0.0056,7.24,Gaussian,deblended,,other,confirmed,3,"S II 6305.5, Fe II 6305.3"
,A,6318.04,0.0073,6.92,Gaussian,deblended,,other,uncertain_discarded,4,
Si II 6347,A,6346.7,0.0222,6.27,Gaussian,single,,other,confirmed,7,Si II 6347.1
Si II 6371,A,6371.1,0.0161,5.24,Gaussian,single,,other,confirmed,6,Si II 6371.4
,A,6460.7,0.0187,9.43,Gaussian,deblended,,other,uncertain_discarded,12,
,A,6477.69,0.0687,18.45,Gaussian,deblended,,other,uncertain_discarded,1,
,A,6485.59,0.0116,4.51,Gaussian,deblended,,other,uncertain_discarded,4,
,A,6493.43,0.0291,7.41,Gaussian,deblended,,other,uncertain_discarded,7,
,A,6516.96,0.0774,7.91,Gaussian,single,,other,uncertain_discarded,3,
,A,6534.03,0.0147,3.51,Gaussian,deblended,,other,uncertain_discarded,4,
,A,6545.4,0.0305,6.58,Gaussian,deblended,,other,uncertain_discarded,6,
,A,6550.97,0.0086,5.09,Gaussian,deblended,,other,uncertain_discarded,4,
H$\alpha$ 6563,A,6561.85,0.2463,16.54,Voigt,deblended,Hα,Balmer,confirmed,11,"H I 6562.9, H I 6562.7, H I 6562.8"
,A,6574.39,0.0207,6.64,Gaussian,deblended,,other,uncertain_discarded,4,
C II 6583,A,6584.41,0.0103,5.83,Gaussian,deblended,,other,confirmed,3,C II 6582.9
He I 6678,A,6678.11,0.0233,6.96,Gaussian,single,,other,confirmed,9,He I 6678.1
